item,0,1,2,3,4,5,6,7,8,9,10,11,12
52234313_119291956,0,0,0,0,1,0,0,0,0,0,0,0,34.0
125667968_318374217,1,0,0,0,0,0,0,0,0,0,0,0,61.0
113922218_130186659,0,0,0,0,1,0,0,0,0,0,0,0,27.0
15122014_53967749,0,0,0,0,0,0,0,0,1,0,0,0,3.0
112492102_345610963,1,0,0,0,0,0,0,0,0,0,0,0,55.0
54091808_61984021,1,0,0,0,0,0,0,0,0,0,0,0,64.0
11109840_120862093,1,0,0,0,0,0,0,0,0,0,0,0,58.0
60046049_346344138,1,0,0,0,0,0,0,0,0,0,0,0,67.0
136078989_172057208,0,0,0,0,0,0,0,0,1,0,0,0,13.0
17947678_255795347,1,0,0,0,0,0,0,0,0,0,0,0,57.0
16277299_371249674,0,0,0,0,1,0,0,0,0,0,0,0,40.0
42408988_43971132,0,0,0,0,1,0,0,0,0,0,0,0,34.0
140768807_400658735,0,0,0,0,0,0,0,0,1,0,0,0,8.0
116304161_367466876,1,0,0,0,0,0,0,0,0,0,0,0,50.0
14891308_270793290,1,0,0,0,0,0,0,0,0,0,0,0,51.0
26894059_141802095,0,0,0,0,1,0,0,0,0,0,0,0,27.0
43128379_222200182,0,0,0,0,0,1,0,0,0,0,0,0,29.0
57523557_391810368,0,0,0,0,1,0,0,0,0,0,0,0,26.0
112671106_106014449,1,0,0,0,0,0,0,0,0,0,0,0,50.0
140948903_203598196,1,0,0,0,0,0,0,0,0,0,0,0,53.0
23975572_204689426,0,0,0,0,1,0,0,0,0,0,0,0,35.0
23840266_215917235,0,0,0,0,0,0,0,0,1,0,0,0,17.0
10620021_68366851,1,0,0,0,0,0,0,0,0,0,0,0,50.0
141442427_206791951,0,0,0,0,0,0,0,0,1,0,0,0,6.0
15330397_336078092,0,0,0,0,1,0,0,0,0,0,0,0,36.0
15330397_69253135,1,0,0,0,0,0,0,0,0,0,0,0,72.0
10935519_77950960,0,0,0,0,0,1,0,0,0,0,0,0,29.0
43467412_128384453,1,0,0,0,0,0,0,0,0,0,0,0,65.0
50783368_341382674,0,0,0,0,0,0,0,0,1,0,0,0,12.0
135919551_257812772,1,0,0,0,0,0,0,0,0,0,0,0,64.0
24568834_253528506,0,0,0,0,0,0,0,0,1,0,0,0,10.0
42332011_262457202,1,0,0,0,0,0,0,0,0,0,0,0,63.0
119377710_350269576,1,0,0,0,0,0,0,0,0,0,0,0,61.0
