user_id,item_id,behavior_type,user_geohash,item_category,time
10001082,275221686,1,,10576,2014-12-02 22
100029775,402678392,1,,1863,2014-12-03 23
100029775,130639998,1,,214,2014-12-15 09
10009860,48881781,4,954fopm,7957,2014-12-15 10
100112527,308659121,1,96p6tuf,13038,2014-12-14 19
100198255,90251068,1,,2513,2014-12-09 00
100198255,298938523,1,,5395,2014-12-02 00
100212013,99902494,1,94efu60,14075,2014-12-08 23
100226515,105153189,1,,5727,2014-12-04 21
100300684,67922934,1,,9541,2014-12-05 13
100329583,8779008,1,99ct1i9,451,2014-12-11 13
100475890,27780787,1,956mjle,5689,2014-12-09 13
100695202,193312304,1,,11537,2014-11-28 20
10095384,57966436,1,9rmkwfm,1508,2014-12-12 07
100982152,37675882,1,99sum69,12630,2014-12-15 22
101218834,253252119,1,,11824,2014-11-18 22
101366281,329991991,1,,12488,2014-12-07 23
101444554,117385406,1,,7582,2014-12-09 11
101458258,39477557,1,,10804,2014-12-12 21
101458258,109757689,1,,1843,2014-11-26 21
101480065,383498970,1,9qkg5ce,5232,2014-12-08 07
101570788,171320995,1,957nd5t,13041,2014-12-04 21
101756527,197828988,1,,4371,2014-11-24 09
101760598,172286074,1,,2656,2014-12-02 10
101820583,144126012,1,,5894,2014-12-12 12
101969992,238455140,1,99poh62,10392,2014-12-17 15
101970481,31477687,1,,2226,2014-12-13 18
101978062,112081113,1,96kcmqk,10753,2014-12-07 21
101982247,31054036,1,,10544,2014-12-10 18
101982646,259239919,1,95ua9k3,7299,2014-12-01 19
101982646,130031727,1,,7466,2014-12-04 23
102035536,73600714,1,94e7e0r,9614,2014-11-29 21
102122962,322196971,1,94fr26b,5894,2014-12-06 08
102122962,354967414,1,94fr27w,5894,2014-12-05 09
102122962,314656982,1,94fr24f,5894,2014-12-05 21
102415156,299533640,1,,10643,2014-12-18 23
102466261,210868278,1,mtobagp,10984,2014-12-07 16
102542083,314697545,1,95ubh22,1488,2014-12-12 15
10258551,239599800,1,mtjqdc7,9517,2014-11-29 21
102612580,217094994,1,96kakv6,5727,2014-11-29 08
102612580,240032441,4,,11537,2014-12-12 00
102772705,382863326,1,,11552,2014-12-12 23
102823423,76903349,1,,7428,2014-11-29 10
102831484,121191695,1,,14079,2014-11-27 11
102831484,97383754,1,,1863,2014-12-04 18
102831484,350744513,1,,5894,2014-11-26 15
102965698,34901913,1,9931wfd,13230,2014-12-11 15
102965698,398305427,1,9930fbi,5894,2014-11-25 09
103226533,253899915,1,,10314,2014-11-21 09
103343899,104587226,1,9qv9ge1,5894,2014-11-22 18
103582477,153458507,1,,13230,2014-11-23 18
103751368,208855394,1,,9835,2014-11-24 11
103954435,87648629,1,,5027,2014-11-28 07
103954435,44073789,1,95lewfv,437,2014-12-13 13
103954435,197417044,1,95lewft,5395,2014-12-10 08
103954435,245457359,1,,10533,2014-11-18 17
103954435,267213527,1,,13378,2014-11-22 08
104045572,285264124,4,,8586,2014-11-20 08
104102926,317040803,1,,1750,2014-11-23 16
104127037,368750700,1,,11335,2014-12-04 12
104127037,370774990,1,,4364,2014-12-09 22
104127037,285011678,1,,5894,2014-12-03 15
104258353,204930899,1,,2160,2014-11-26 06
104258353,299323788,1,,13230,2014-12-04 19
104428489,98368737,1,,4280,2014-11-23 18
104448961,232599952,1,,6054,2014-11-26 23
104450296,84724084,1,,1838,2014-11-25 15
10451301,218556418,1,,13230,2014-11-18 07
104665927,231771095,1,,13050,2014-12-17 16
104665927,32806934,1,,5399,2014-11-29 00
104802979,11906278,1,,3798,2014-11-18 20
104841235,241380338,1,,9881,2014-11-30 20
104841235,177233526,1,,2825,2014-11-19 21
104876257,257918946,1,,4370,2014-12-11 20
104890801,89924838,1,99ndl6e,2425,2014-12-13 20
10496835,118354039,1,96k7bll,4296,2014-12-12 22
10496835,21331026,1,96k7bkn,3628,2014-12-07 08
104982265,275038615,1,,10314,2014-12-07 18
104982265,285606027,1,,9618,2014-11-30 11
105026093,331759502,1,,492,2014-11-26 16
105026093,54433499,1,993sbe1,5027,2014-12-04 22
105026093,302324644,1,,12630,2014-12-04 05
105121694,239111259,1,,14079,2014-12-16 22
105151880,48603643,3,957qoh0,4898,2014-12-10 08
105254663,235053737,1,,3424,2014-11-26 10
105258653,225117651,1,,9559,2014-12-02 02
105271193,348415479,1,9rf443l,10894,2014-12-13 22
105284450,97094860,1,95q0o17,3662,2014-12-09 12
10531113,354251771,1,,13230,2014-12-16 20
10531113,214694118,1,,10661,2014-12-18 17
105315608,334697522,1,,3064,2014-12-16 23
105315608,389742191,1,,3064,2014-12-14 08
105315608,31073638,1,,3064,2014-12-09 21
105317546,234226360,1,,6054,2014-12-04 00
105410696,3426896,1,,4642,2014-12-10 23
105410696,32972827,1,,4778,2014-12-09 18
105437657,125218658,1,,2758,2014-11-20 13
105497231,293942011,1,9qv9lf3,5271,2014-12-10 18
105497231,48941030,1,,8877,2014-12-01 00
105618998,10734953,1,99ctnpn,3852,2014-12-17 14
105618998,391400179,1,,9516,2014-12-16 09
105618998,338844684,1,,9516,2014-12-17 07
105748271,148827170,1,,14079,2014-12-04 00
105769703,254752637,1,,13003,2014-12-16 21
106103615,293818736,1,9r7je25,4739,2014-12-11 19
106105154,355734116,1,,1863,2014-12-02 13
106105154,256447839,1,,5689,2014-11-19 13
106105154,213997112,1,99nfpwm,5571,2014-12-14 15
106105154,144061582,1,,7929,2014-11-25 22
106105154,177558678,3,,5689,2014-11-19 20
10618497,156626033,1,,7549,2014-11-24 17
10618497,207977878,4,,9412,2014-12-12 11
106206683,46479152,1,,9363,2014-11-20 00
106206683,239824738,1,956lthd,4676,2014-11-24 21
106523933,272307466,1,,10507,2014-11-24 17
106525472,210672515,1,,6513,2014-11-21 14
106525472,27537169,1,,11824,2014-12-15 20
106554566,123085212,1,,10392,2014-12-03 07
106639460,286384646,1,,7995,2014-12-11 21
106903553,287597605,1,,5271,2014-12-13 22
106972148,129680650,1,9rdmbdv,1863,2014-11-27 22
10713699,359009243,1,,3662,2014-11-28 00
10716444,195436150,1,96k9oln,4830,2014-12-10 22
107270936,379433087,1,95qq6bb,3472,2014-11-18 15
107281343,256845261,1,,13230,2014-12-13 18
107281343,401595937,1,,3227,2014-12-12 13
107281343,342060217,1,,6513,2014-11-22 18
107361953,225310798,1,,6745,2014-12-04 22
107436887,166060666,1,,7195,2014-12-12 14
107487194,263820181,1,,11279,2014-12-05 18
107487194,71729528,1,,12630,2014-12-14 23
10749927,404098310,2,94i43wi,12823,2014-12-09 10
107604134,54079946,3,,508,2014-12-12 01
10761222,130915053,1,,12569,2014-12-02 20
10761222,336070701,1,,281,2014-11-22 07
107808446,163081617,1,9555ph1,3099,2014-12-02 19
107844356,292931162,1,,10431,2014-12-14 15
107916506,224459397,1,,11475,2014-12-02 00
107947538,219601448,1,,7677,2014-11-29 00
108001316,392663353,1,mtobc41,7957,2014-11-28 18
108034286,349261987,1,,7753,2014-12-18 22
108049880,285224214,1,96615kf,5751,2014-12-07 21
108059195,26772179,1,94mnrr0,6255,2014-12-11 23
108059195,185720437,1,,13230,2014-11-22 21
108114497,341101842,1,,4370,2014-12-07 09
10820115,375190902,1,mtj9ksh,2856,2014-11-28 15
10823697,154708500,1,,6321,2014-12-14 00
10823697,209318674,1,,10894,2014-11-28 21
108261212,85624909,1,,10037,2014-11-20 22
108266048,122693429,1,9422ukh,5894,2014-12-17 13
108266048,219229027,1,,5027,2014-11-20 20
108281837,315983419,1,,9753,2014-12-11 03
108351137,61214192,1,95u2gbw,4230,2014-11-24 19
108351137,165483743,1,95u2gbo,6054,2014-12-16 22
108444605,170544284,1,,1674,2014-12-11 21
108461135,316539581,1,943gve4,10533,2014-12-18 17
108461135,381073428,2,,1863,2014-11-28 14
108461135,306261976,1,,5027,2014-12-04 08
108461135,10842213,1,,5894,2014-11-23 10
108461135,334753988,1,,13230,2014-11-30 08
108461135,186400031,1,,5399,2014-12-03 10
108461135,253430729,1,,10894,2014-11-26 21
108534929,121597581,1,,10392,2014-12-15 17
108541346,237982636,1,,3544,2014-12-04 05
108556142,401934869,1,,2367,2014-12-12 21
108556142,375763559,1,,2177,2014-12-12 21
108648119,285379320,1,,6576,2014-11-18 17
108721043,98930249,1,9rf9dik,2825,2014-12-04 17
108721043,209468234,1,9rf9evf,5894,2014-11-27 20
108731954,181344140,1,99ujij3,451,2014-12-12 13
108770210,398062197,1,,3760,2014-12-10 15
108807980,223015773,1,,9186,2014-11-23 22
108809234,306864817,1,94eb265,2633,2014-12-17 08
108815357,34454614,1,,12791,2014-11-30 05
108883904,193858435,1,9r7n3gk,10072,2014-11-20 23
109130675,113673724,1,,11623,2014-12-02 20
109130675,136246643,1,,11623,2014-12-02 20
109400297,32642376,1,9410foj,5503,2014-12-09 21
109400696,221169796,1,,5201,2014-11-20 11
1094209,213047244,1,,13846,2014-11-27 16
109576668,271258171,3,,5894,2014-12-15 21
109682277,217886817,1,,4512,2014-11-21 22
109767570,70635103,1,,4127,2014-11-22 13
109921665,218947653,1,,3090,2014-12-16 12
110021668,169410294,1,,12067,2014-12-11 22
110129533,360044606,1,,10585,2014-12-04 15
110180833,314524071,1,,9232,2014-11-24 21
11020158,90434772,1,94deet7,11879,2014-12-06 12
110203018,23739603,1,,11824,2014-11-20 15
110216161,368571062,1,954khv1,10242,2014-12-12 19
110226274,346366265,2,9rdm0d6,242,2014-12-04 23
110226274,103384793,1,,5027,2014-12-03 17
110231950,193635613,1,,3673,2014-12-18 12
110231950,115576185,1,,3673,2014-12-09 15
110239930,236257309,3,,6648,2014-11-24 18
110262583,78907765,1,,1863,2014-11-21 18
110321077,345036092,1,97uvujd,1863,2014-12-06 23
110321077,286199963,1,97uvuif,3472,2014-12-17 14
110379868,6703599,1,95f6vr2,1863,2014-11-20 21
110379868,161799363,1,95f6uvr,12141,2014-12-08 21
11039742,79887779,1,,874,2014-12-10 22
110400841,18239431,1,,10753,2014-11-22 19
110507614,183909281,1,,5894,2014-12-04 10
110507614,364197186,1,,7929,2014-11-22 09
110507614,218757697,2,,9835,2014-12-18 18
110547514,11117542,1,,1863,2014-11-19 13
110547514,79469495,1,,13230,2014-12-17 22
110547514,71120966,1,,2525,2014-11-28 21
110580679,25147898,1,,5399,2014-12-05 04
110581771,251790380,1,,1427,2014-11-26 12
110581771,293670293,1,,5894,2014-11-22 15
